,date,headline,link,time,content,time_adj,headline_text,lemma_headline,pos_headline,label_headline,cleaned
0,2011-12-30,Amazon.com Announces “Best of 2011” Lists,/news-releases/news-release-details/amazoncom-announces-best-2011-lists,9:00 AM,,9.0,amazon com announces  best of    lists,"['amazon', 'com', 'announce', ' ', 'good', 'of', '   ', 'list']","['PROPN', 'PROPN', 'VERB', 'SPACE', 'ADJ', 'ADP', 'SPACE', 'NOUN']",['ORG'],"['amazon', 'com', 'announce', 'good', 'list']"
1,2011-12-29,2011 is the Best Holiday Ever for Kindle,/news-releases/news-release-details/2011-best-holiday-ever-kindle,9:00 AM,,9.0,  is the best holiday ever for kindle,"['  ', 'be', 'the', 'good', 'holiday', 'ever', 'for', 'kindle']","['SPACE', 'AUX', 'DET', 'ADJ', 'NOUN', 'ADV', 'ADP', 'NOUN']",[],"['good', 'holiday', 'kindle']"
2,2011-12-22,It’s the Most Digital Time of the Year: Amazon Announces Best of Digital Store,/news-releases/news-release-details/its-most-digital-time-year-amazon-announces-best-digital-store,9:01 AM,,9.0,it’s the most digital time of the year  amazon announces best of digital store,"['-PRON-', '’', 'the', 'most', 'digital', 'time', 'of', 'the', 'year', ' ', 'amazon', 'announce', 'well', 'of', 'digital', 'store']","['PRON', 'VERB', 'DET', 'ADV', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'SPACE', 'PROPN', 'VERB', 'ADV', 'ADP', 'ADJ', 'NOUN']","['DATE', 'ORG']","['’', 'digital', 'time', 'year', 'amazon', 'announce', 'digital', 'store']"
3,2011-12-22,"Governor McDonnell, Amazon.com Announce Company’s Plans to Open Two Fulfillment Centers in Virginia, Creating More than 1,350 New Jobs",/news-releases/news-release-details/governor-mcdonnell-amazoncom-announce-companys-plans-open-two,8:30 AM,,9.0,governor mcdonnell  amazon com announce company’s plans to open two fulfillment centers in virginia  creating more than     new jobs,"['governor', 'mcdonnell', ' ', 'amazon', 'com', 'announce', 'company', '’s', 'plan', 'to', 'open', 'two', 'fulfillment', 'center', 'in', 'virginia', ' ', 'create', 'more', 'than', '    ', 'new', 'job']","['PROPN', 'PROPN', 'SPACE', 'PROPN', 'PROPN', 'NOUN', 'PROPN', 'PART', 'VERB', 'PART', 'VERB', 'NUM', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'SPACE', 'VERB', 'ADV', 'SCONJ', 'SPACE', 'ADJ', 'NOUN']","['ORG', 'ORG', 'CARDINAL', 'GPE']","['governor', 'mcdonnell', 'amazon', 'com', 'announce', 'company', 'plan', 'open', 'fulfillment', 'center', 'virginia', 'create', 'new', 'job']"
4,2011-12-22,"Governor Haslam and Amazon Announce Amazon Will Build Two New Fulfillment Centers in Tennessee, Creating Over 1,300 Jobs",/news-releases/news-release-details/governor-haslam-and-amazon-announce-amazon-will-build-two-new,8:30 AM,,9.0,governor haslam and amazon announce amazon will build two new fulfillment centers in tennessee  creating over     jobs,"['governor', 'haslam', 'and', 'amazon', 'announce', 'amazon', 'will', 'build', 'two', 'new', 'fulfillment', 'center', 'in', 'tennessee', ' ', 'create', 'over', '    ', 'job']","['PROPN', 'PROPN', 'CCONJ', 'PROPN', 'PROPN', 'PROPN', 'VERB', 'VERB', 'NUM', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'SPACE', 'VERB', 'ADP', 'SPACE', 'NOUN']","['ORG', 'ORG', 'PERSON', 'CARDINAL', 'GPE']","['governor', 'haslam', 'amazon', 'announce', 'amazon', 'will', 'build', 'new', 'fulfillment', 'center', 'tennessee', 'create', 'job']"
5,2011-12-21,"Amazon's LOVEFiLM Expands UK Content with Sony Pictures Television 
 Deal",/news-releases/news-release-details/amazons-lovefilm-expands-uk-content-sony-pictures-television,9:03 AM,,9.0,"amazon s lovefilm expands uk content with sony pictures television 
 deal","['amazon', 's', 'lovefilm', 'expand', 'uk', 'content', 'with', 'sony', 'pictures', 'television', '\n ', 'deal']","['PROPN', 'PART', 'PROPN', 'VERB', 'PROPN', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'NOUN', 'SPACE', 'NOUN']","['ORG', 'GPE', 'ORG']","['amazon', 'lovefilm', 'expand', 'uk', 'content', 'sony', 'pictures', 'television', 'deal']"
6,2011-12-20,"The Hottest Holiday Gift Just got Hotter: Free Two-Day Shipping on 
 All Kindles - Including Kindle Fire - in Time for Christmas",/news-releases/news-release-details/hottest-holiday-gift-just-got-hotter-free-two-day-shipping-all,9:16 AM,,9.0,"the hottest holiday gift just got hotter  free two day shipping on 
 all kindles   including kindle fire   in time for christmas","['the', 'hot', 'holiday', 'gift', 'just', 'get', 'hot', ' ', 'free', 'two', 'day', 'shipping', 'on', '\n ', 'all', 'kindle', '  ', 'include', 'kindle', 'fire', '  ', 'in', 'time', 'for', 'christmas']","['DET', 'ADJ', 'NOUN', 'NOUN', 'ADV', 'VERB', 'ADJ', 'SPACE', 'ADJ', 'NUM', 'NOUN', 'NOUN', 'ADP', 'SPACE', 'DET', 'NOUN', 'SPACE', 'VERB', 'NOUN', 'NOUN', 'SPACE', 'ADP', 'NOUN', 'ADP', 'PROPN']","['DATE', 'DATE']","['hot', 'holiday', 'gift', 'get', 'hot', 'free', 'day', 'shipping', 'kindle', 'include', 'kindle', 'fire', 'time', 'christmas']"
7,2011-12-15,Customers Purchasing Kindles at Rate of More Than 1 Million Per Week for Third Straight Week,/news-releases/news-release-details/customers-purchasing-kindles-rate-more-1-million-week-third,11:45 AM,,9.0,customers purchasing kindles at rate of more than   million per week for third straight week,"['customer', 'purchase', 'kindle', 'at', 'rate', 'of', 'more', 'than', '  ', 'million', 'per', 'week', 'for', 'third', 'straight', 'week']","['NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'ADJ', 'SCONJ', 'SPACE', 'NUM', 'ADP', 'NOUN', 'ADP', 'ADJ', 'ADJ', 'NOUN']","['MONEY', 'DATE']","['customer', 'purchase', 'kindle', 'rate', 'more', 'week', 'third', 'straight', 'week']"
8,2011-12-14,Amazon Web Services Launches Brazil Datacenters for Its Cloud Computing Platform,/news-releases/news-release-details/amazon-web-services-launches-brazil-datacenters-its-cloud,10:52 PM,,9.0,amazon web services launches brazil datacenters for its cloud computing platform,"['amazon', 'web', 'services', 'launch', 'brazil', 'datacenter', 'for', '-PRON-', 'cloud', 'computing', 'platform']","['PROPN', 'PROPN', 'PROPN', 'VERB', 'PROPN', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'NOUN']","['ORG', 'GPE']","['amazon', 'web', 'services', 'launch', 'brazil', 'datacenter', 'cloud', 'computing', 'platform']"
9,2011-12-13,Amazon Extends Free Super Saver Shipping Order Cutoff,/news-releases/news-release-details/amazon-extends-free-super-saver-shipping-order-cutoff,9:00 AM,,9.0,amazon extends free super saver shipping order cutoff,"['amazon', 'extend', 'free', 'super', 'saver', 'ship', 'order', 'cutoff']","['PROPN', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'NOUN']",['ORG'],"['amazon', 'extend', 'free', 'super', 'saver', 'ship', 'order', 'cutoff']"
