,Date,Open,Close,trade
1519,2018-01-22,1297.170044,1327.310059,-1297.170044
1540,2018-02-21,1485.0,1482.920044,1482.920044
1567,2018-04-02,1417.619995,1371.98999,-1417.619995
1578,2018-04-17,1462.300049,1503.829956,1503.829956
1597,2018-05-14,1604.0,1601.540039,-1604.0
1611,2018-06-04,1648.900024,1665.27002,1665.27002
1624,2018-06-21,1760.0,1730.219971,-1760.0
1640,2018-07-16,1821.949951,1822.4899899999998,1822.4899899999998
1672,2018-08-29,1953.449951,1998.0999760000002,-1953.449951
1684,2018-09-17,1954.72998,1908.030029,1908.030029
1692,2018-09-27,1993.2399899999998,2012.97998,-1993.2399899999998
1714,2018-10-29,1660.0,1538.880005,1538.880005
1724,2018-11-12,1698.2399899999998,1636.849976,-1698.2399899999998
1750,2018-12-20,1484.0,1460.829956,1460.829956
1770,2019-01-22,1681.0,1632.170044,-1681.0
1791,2019-02-21,1619.849976,1619.439941,1619.439941
1818,2019-04-01,1800.109985,1814.189941,-1800.109985
1831,2019-04-18,1868.790039,1861.689941,1861.689941
1848,2019-05-14,1839.5,1840.119995,-1839.5
1862,2019-06-04,1699.2399899999998,1729.560059,1729.560059
1875,2019-06-21,1916.0999760000002,1911.300049,-1916.0999760000002
1891,2019-07-16,2010.5799559999998,2009.9000239999998,2009.9000239999998
1924,2019-08-30,1797.4899899999998,1776.290039,-1797.4899899999998
1935,2019-09-17,1807.0799559999998,1822.550049,1822.550049
1943,2019-09-27,1748.0,1725.449951,-1748.0
1965,2019-10-29,1774.810059,1762.709961,1762.709961
1974,2019-11-11,1778.0,1771.6500239999998,-1778.0
2002,2019-12-20,1799.619995,1786.5,1786.5
2022,2020-01-22,1896.089966,1887.459961,-1896.089966
2043,2020-02-21,2142.149902,2095.969971,2095.969971
2069,2020-03-30,1922.8299559999998,1963.949951,-1922.8299559999998
2082,2020-04-17,2372.330078,2375.0,2375.0
2101,2020-05-14,2361.01001,2388.850098,-2361.01001
2114,2020-06-03,2468.01001,2478.399902,2478.399902
2127,2020-06-22,2684.5,2713.820068,-2684.5
2144,2020-07-16,2971.060059,2999.899902,2999.899902
2176,2020-08-31,3408.98999,3450.959961,-3408.98999
2188,2020-09-17,3009.25,3008.72998,3008.72998
2195,2020-09-28,3148.850098,3174.050049,-3148.850098
2217,2020-10-28,3249.300049,3162.780029,3162.780029
2225,2020-11-09,3231.030029,3143.73999,-3231.030029
2253,2020-12-18,3243.98999,3201.649902,3201.649902
